Cell #,Total mRNA per Cell,Total Colocolized With Organelle Near,Total Colocolized With Organelle Far,Total Not Colocolized with Organelle,Organelle Signal Coverage Of Cell List,mRNAs z coords,mRNAs intensities,mRNAs status
1,0,0,0,0,"[4.20136, 7.11582, 16.0863, 23.88342, 26.72218, 30.77214, 30.50719, 26.00303, 21.95307, 22.06662, 22.14232, 17.71385, 12.83119, 7.49432, 3.33081, 2.46026, 2.11961]",[],[],[]
2,0,0,0,0,"[0.0, 0.4717, 0.0, 0.0, 0.0, 11.32075, 21.69811, 23.11321, 19.33962, 8.96226, 0.0, 0.0, 0.0, 0.4717, 0.9434, 1.88679, 3.30189]",[],[],[]
3,0,0,0,0,"[0.15985, 0.06394, 0.51151, 0.4156, 0.03197, 0.06394, 0.0, 0.0, 0.06394, 0.06394, 0.12788, 0.06394, 0.03197, 0.38363, 0.92711, 1.1509, 1.6624]",[],[],[]
15,6,0,0,6,"[0.1454, 0.0, 0.03635, 0.50891, 0.10905, 0.10905, 0.25445, 0.18175, 0.10905, 0.10905, 0.3635, 0.47256, 0.2908, 0.58161, 1.16321, 1.09051, 1.59942]","[3, 3, 3, 3, 3, 3]","[197.9961, 222.3629, 205.0628, 206.2192, 210.45, 176.7716]","['nc', 'nc', 'nc', 'nc', 'nc', 'nc']"
23,9,0,7,2,"[40.72937, 42.34165, 45.71977, 50.13436, 49.71209, 52.5144, 52.74472, 52.13052, 52.28407, 51.90019, 53.66603, 47.25528, 41.07486, 37.1977, 32.89827, 23.49328, 18.34933]","[2, 2, 2, 3, 3, 3, 4, 4, 4]","[200.7019, 197.6367, 203.9662, 188.6779, 185.3398, 339.2368, 197.9341, 183.2457, 191.24]","['organelle_far', 'organelle_far', 'organelle_far', 'nc', 'organelle_far', 'organelle_far', 'organelle_far', 'organelle_far', 'nc']"
24,0,0,0,0,"[5.83942, 6.20438, 35.40146, 47.08029, 55.10949, 58.0292, 60.21898, 56.20438, 47.81022, 37.22628, 12.40876, 0.0, 0.72993, 0.36496, 1.09489, 1.45985, 3.64964]",[],[],[]
25,0,0,0,0,"[15.17898, 22.33802, 36.65609, 41.95741, 41.82148, 41.14182, 39.51065, 33.80154, 30.22202, 29.08926, 33.34844, 27.63933, 19.2116, 12.36973, 7.4309, 4.84821, 5.39193]",[],[],[]
26,0,0,0,0,"[0.1345, 0.20175, 0.0, 0.60525, 1.41224, 1.88299, 4.30397, 2.15198, 1.21049, 1.68124, 0.87424, 0.33625, 0.0, 0.33625, 0.87424, 0.73974, 0.80699]",[],[],[]
27,3,0,1,2,"[6.47139, 16.96185, 31.06267, 35.9673, 35.9673, 34.87738, 32.49319, 29.90463, 29.22343, 27.17984, 25.47684, 24.45504, 16.34877, 11.23978, 5.44959, 2.58856, 2.7248]","[3, 3, 5]","[182.2821, 174.4066, 173.9342]","['nc', 'nc', 'organelle_far']"
37,6,0,0,6,"[0.14313, 0.04771, 0.90649, 1.4313, 1.09733, 1.14504, 0.33397, 0.57252, 0.90649, 1.14504, 0.81107, 0.0, 0.04771, 0.38168, 0.76336, 0.90649, 1.09733]","[2, 2, 3, 4, 4, 5]","[207.3596, 230.3658, 258.286, 178.8304, 185.4694, 151.494]","['nc', 'nc', 'nc', 'nc', 'nc', 'nc']"
38,0,0,0,0,"[2.54507, 5.72641, 16.64899, 25.02651, 30.64687, 36.79745, 36.26723, 36.79745, 35.20679, 28.95016, 15.69459, 16.4369, 12.19512, 4.55992, 2.01485, 0.42418, 1.59067]",[],[],[]
39,0,0,0,0,"[0.0, 0.0, 0.0, 0.0, 0.61125, 2.44499, 2.93399, 0.12225, 0.2445, 0.0, 0.0, 0.0, 0.0, 0.36675, 0.36675, 1.71149, 1.95599]",[],[],[]
40,0,0,0,0,"[0.0, 0.03804, 0.03804, 0.38037, 0.41841, 0.07607, 0.19019, 0.3043, 0.11411, 0.03804, 0.07607, 0.07607, 0.15215, 0.41841, 0.49448, 0.91289, 1.36934]",[],[],[]
41,0,0,0,0,"[0.0, 0.0, 0.0, 0.0, 0.0, 5.36585, 21.21951, 31.95122, 37.07317, 40.4878, 38.29268, 26.34146, 11.21951, 2.43902, 3.17073, 1.70732, 2.19512]",[],[],[]
42,0,0,0,0,"[31.45684, 40.19106, 50.0853, 54.52064, 54.41829, 54.55476, 54.58888, 54.48652, 53.63357, 56.02184, 54.28182, 45.24053, 34.28864, 25.5203, 17.7755, 9.96247, 9.00716]",[],[],[]
43,0,0,0,0,"[0.25641, 0.0, 0.08547, 3.33333, 3.33333, 1.02564, 1.79487, 0.34188, 0.08547, 0.0, 0.08547, 0.17094, 0.25641, 0.25641, 0.42735, 1.28205, 1.45299]",[],[],[]
44,15,0,13,2,"[15.50173, 22.94118, 35.81315, 38.99654, 35.67474, 38.4083, 45.67474, 51.90311, 50.76125, 45.67474, 38.06228, 32.76817, 24.63668, 18.99654, 10.69204, 5.15571, 4.42907]","[2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 4, 4, 4, 5, 7]","[287.4709, 219.5665, 200.6724, 353.9174, 231.2087, 209.2173, 323.849, 199.4243, 204.418, 183.4185, 221.58, 181.71, 185.2511, 179.1809, 175.7854]","['nc', 'organelle_far', 'organelle_far', 'organelle_far', 'organelle_far', 'organelle_far', 'organelle_far', 'organelle_far', 'organelle_far', 'organelle_far', 'organelle_far', 'organelle_far', 'nc', 'organelle_far', 'organelle_far']"
