Cell #,Total mRNA per Cell,Total Colocolized With Organelle Near,Total Colocolized With Organelle Far,Total Not Colocolized with Organelle,Organelle Signal Coverage Of Cell List,mRNAs z coords,mRNAs intensities,mRNAs status
10,1,0,0,1,"[0.68306, 0.92213, 0.10246, 0.03415, 0.0, 0.13661, 0.03415, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.03415, 0.0, 0.17077, 0.47814]",[3],[170.398],['nc']
11,0,0,0,0,"[2.06767, 2.94486, 4.26065, 5.26316, 7.36216, 8.27068, 9.46115, 9.08521, 11.43484, 10.33835, 11.21554, 10.96491, 8.39599, 6.35965, 6.26566, 5.95238, 5.98371]",[],[],[]
12,0,0,0,0,"[0.79455, 0.39728, 0.17026, 0.05675, 0.05675, 0.05675, 0.05675, 0.34052, 0.17026, 0.11351, 0.22701, 0.11351, 0.34052, 0.05675, 0.05675, 0.05675, 0.34052]",[],[],[]
13,0,0,0,0,"[3.75, 1.25, 0.0, 7.5, 21.25, 35.0, 46.875, 52.5, 45.0, 44.375, 36.875, 25.625, 21.875, 11.25, 8.125, 8.125, 6.25]",[],[],[]
14,10,0,0,10,"[1.51079, 0.71942, 0.0, 0.0, 0.28777, 0.43165, 0.57554, 0.0, 0.0, 0.0, 0.0, 0.28777, 0.28777, 0.0, 0.43165, 0.43165, 0.07194]","[4, 5, 5, 5, 5, 6, 6, 6, 8, 9]","[215.4892, 161.8759, 225.3466, 256.9581, 170.9305, 191.5017, 183.5844, 183.4813, 173.653, 191.7574]","['nc', 'nc', 'nc', 'nc', 'nc', 'nc', 'nc', 'nc', 'nc', 'nc']"
15,0,0,0,0,"[2.42198, 1.11784, 0.23288, 0.18631, 1.16442, 1.49045, 2.37541, 3.16721, 3.67955, 3.81928, 3.86586, 3.12063, 2.42198, 2.04937, 0.88496, 0.23288, 0.0]",[],[],[]
16,0,0,0,0,"[1.81558, 1.05112, 0.14333, 0.04778, 0.14333, 0.14333, 0.19111, 0.09556, 0.0, 0.14333, 0.04778, 0.0, 0.04778, 0.0, 0.0, 0.19111, 0.47778]",[],[],[]
25,2,0,0,2,"[1.54814, 0.87083, 0.14514, 0.0, 0.48379, 0.0, 0.09676, 0.19352, 0.2419, 0.2419, 0.14514, 0.14514, 0.04838, 0.09676, 0.14514, 0.04838, 0.33866]","[5, 5]","[199.1225, 174.3486]","['nc', 'nc']"
26,0,0,0,0,"[1.45943, 0.40864, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.17513, 0.05838, 0.05838, 0.0, 0.05838, 0.29189, 0.0]",[],[],[]
27,0,0,0,0,"[0.37665, 0.94162, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.18832, 0.0, 0.0]",[],[],[]
30,1,0,0,1,"[0.95357, 0.99502, 0.0, 0.16584, 0.45605, 0.2073, 0.04146, 0.16584, 0.04146, 0.0, 0.0, 0.04146, 0.16584, 0.33167, 0.04146, 0.37313, 0.2073]",[5],[197.3011],['nc']
31,0,0,0,0,"[0.42113, 0.42113, 0.53599, 0.72741, 0.38285, 0.0, 0.15314, 0.03828, 0.34456, 0.15314, 0.34456, 0.34456, 0.11485, 0.03828, 0.34456, 0.19142, 0.26799]",[],[],[]
32,0,0,0,0,"[0.81272, 0.77739, 0.07067, 0.07067, 0.31802, 0.10601, 0.03534, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07067, 0.0, 0.21201]",[],[],[]
33,13,0,6,7,"[22.43194, 28.82033, 31.43376, 37.49546, 39.74592, 40.0363, 41.27042, 41.74229, 41.16152, 41.63339, 40.50817, 41.5971, 43.59347, 43.37568, 40.76225, 37.74955, 34.33757]","[3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 5, 6, 7]","[255.4655, 226.0195, 213.6894, 215.811, 168.3097, 210.1024, 170.8406, 179.7491, 210.774, 215.4272, 168.6498, 206.8124, 182.2567]","['organelle_far', 'organelle_far', 'nc', 'organelle_far', 'nc', 'nc', 'organelle_far', 'nc', 'nc', 'organelle_far', 'organelle_far', 'nc', 'nc']"
